"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Abortion","/əˈbɔɹʃən/","n.","abortion, abortions","abort (v.), abortionist (n.)","termination of pregnancy","Laws that protect patients and staff from harassment outside abortion clinics apply equally to everyone in the vicinity.","abortion ban; have abortion; get abortions","C1"
"Abnormal","/æˈbnɔɹməl/","adj.","abnormal, more abnormal, most abnormal","abnormality (n.)","not normal; not typical or usual or regular or conforming to a norm","In this paper we propose a novel method to detect abnormal behaviors of elderly people living at home.","abnormal behaviors; abnormal cortical thickness; abnormal upbringing","C1"
"Abrupt","/əˈbɹʌpt/","adj.","abrupt, more abrupt, most abrupt","abruptness (n.), abruptly (adv.)","marked by sudden changes in subject and sharp transitions","We revisit macroeconomic time-varying parameter vector autoregressions , whose persistent coefficients may adapt too slowly to large, abrupt shifts such as those during major crises.","abrupt changes; abrupt pause; abrupt end","C1"
"Absurd","/əˈbsɝd/","adj.","absurd, more absurd, most absurd","absurdity (n.)","inconsistent with reason or logic or common sense","This leads them to believe the dream is real, even when the dreams are absurd.","absurd amount; absurd number; absurd plots","C1"
"Abundant","/əˈbʌndənt/","adj.","abundant, more abundant, most abundant","abundance (n.)","present in great quantity","At low ozone, both high and low clouds become more abundant, due to changes in the tropospheric stability.","abundant resources; abundant oil; abundant data","C1"
"Accessible","/æˈksɛsəbəl/","adj.","accessible, more accessible, most accessible","accessibility (n.)","capable of being reached","The Alaska Highway, built during the war, and the Alaska Marine Highway, completed in 1963, made the state more accessible than before.","accessible toilet; accessible information; accessible tools","C1"
"Accounting","/əˈkaʊntɪŋ/","n. [U]","no changes","account (v.)","a system for recording, analyzing, and reporting financial transactions","The firm hired a senior accountant to review its financial accounting practices and ensure compliance with international reporting standards.","accounting standards; financial accounting; accounting practice","C1"
"Accord","/əˈkɔɹd/","n.","accord, accords","accordant (adj.), accordance (n.)","harmony of people's opinions or actions or characters","One problem was the amount of disinformation circulating on social media, including false claims that the accord would cede national sovereignty to the WHO.","own accord; peace accord; accord with rules","C1"
"Accommodation","/əˌkɑməˈdeɪʃən/","n. [U]","no changes","accommodate (v.), accommodational (adj.)","a place to stay or live; lodging","The conference package includes flights, accommodation, and a daily stipend for meals.","find accommodation; special accommodation; have accommodation","C1"
"Abuse","/əˈbjus/","n. [U]","no changes","abuser (n.), abusive (adj.)","cruel or inhumane treatment","In cases where a judge rather than a jury decided issues of fact, an appellate court will apply an ""abuse of discretion"" standard of review.","abuse potential; domestic abuse; abuse of power","C1"
"Acquisition","/ˌækwəˈzɪʃən/","n.","acquisition, acquisitions","acquire (v.)","the act of contracting or assuming or acquiring possession of something","The recent acquisition of the smaller firm helped the company expand into new markets.","acquisition of skills; grow through acquisition; increasing acquisition","C1"
"Activist","/ˈæktəvəst/","n.","activist, activists","activism (n.)","a militant reformer","The young activist spent years campaigning for better protection of local woodlands.","young activist; peace activist; political activists","C1"
"Acute","/əˈkjut/","adj.","acute, more acute, most acute","acuteness (n.), acutely (adv.)","having or experiencing a rapid onset and short but severe course","The second big difference between excellence in flow is that flow happens in acute moments.","acute inflammatory response; acute stress; acute care","C1"
"Administration","/æˌdmɪnɪsˈtɹeɪʃən/","n. [U]","no changes","administer (v.)","the activity of managing or running an organization or government","His administration faced difficulties guarding Western settlers, railroads, and telegraph lines from Native American attacks.","current administration; federal administration; administration policy","C1"
"Administrative","/əˈdmɪnəsˌtɹeɪtɪv/","adj.","administrative, more administrative, most administrative","administer (v.), administrate (v.)","of or relating to or responsible for administration","The French language in Algeria persists, especially in media, education, and certain administrative matters, but has no official status.","administrative burden; administrative region; administrative control","C1"
